timestamp,region,score
1772565368.4802785,China,20
1772565368.4802785,Latam,18
1772565368.4802785,Mexico,17
1772565368.4802785,Argentina,17
1772565368.4802785,Brasil,17
1772565368.4802785,Sahel,32
1772565368.4802785,Asia_Pacifico,21
1772565368.4802785,Europa_Core,21
1772565368.4802785,North_Korea,35
1772565368.4802785,Australia,20
1772565368.4802785,ARGENTINA,17
1772565368.4802785,LATAM,18
1772565368.4802785,SAHEL,32
1772565368.4802785,ESPANA,19
1772565368.4802785,NORTH_KOREA,35
1772565368.4802785,EUROPA_CORE,21
1772565368.4802785,AUSTRALIA,20
1772565368.4802785,CHINA,20
1772565368.4802785,IRAN_M_ORIENTE,68
1772565368.4802785,MEXICO,17
1772565368.4802785,RUSIA_UCRANIA,62
1772565368.4802785,BRASIL,17
1772565368.4802785,ASIA_PACIFICO,21
1772565609.7653391,Iran_M_Oriente,68
1772565609.7653391,Espana,19
1772565609.7653391,Rusia_Ucrania,62
1772565609.7653391,USA,22
1772565609.7653391,China,20
1772565609.7653391,Latam,18
1772565609.7653391,Mexico,17
1772565609.7653391,Argentina,17
1772565609.7653391,Brasil,17
1772565609.7653391,Sahel,32
1772565609.7653391,Asia_Pacifico,21
1772565609.7653391,Europa_Core,21
1772565609.7653391,North_Korea,35
1772565609.7653391,Australia,20
1772565609.7653391,ARGENTINA,17
1772565609.7653391,LATAM,18
1772565609.7653391,SAHEL,32
1772565609.7653391,ESPANA,19
1772565609.7653391,NORTH_KOREA,35
1772565609.7653391,EUROPA_CORE,21
1772565609.7653391,AUSTRALIA,20
1772565609.7653391,CHINA,20
1772565609.7653391,IRAN_M_ORIENTE,68
1772565609.7653391,MEXICO,17
1772565609.7653391,RUSIA_UCRANIA,62
1772565609.7653391,BRASIL,17
1772565609.7653391,ASIA_PACIFICO,21
1772565909.6682804,Iran_M_Oriente,68
1772565909.6682804,Espana,19
1772565909.6682804,Rusia_Ucrania,62
1772565909.6682804,USA,22
1772565909.6682804,China,20
1772565909.6682804,Latam,18
1772565909.6682804,Mexico,17
1772565909.6682804,Argentina,17
1772565909.6682804,Brasil,17
1772565909.6682804,Sahel,32
1772565909.6682804,Asia_Pacifico,21
1772565909.6682804,Europa_Core,21
1772565909.6682804,North_Korea,35
1772565909.6682804,Australia,20
1772566472.3531039,Iran_M_Oriente,68
1772566472.3531039,Espana,19
1772566472.3531039,Rusia_Ucrania,62
1772566472.3531039,USA,22
1772566472.3531039,China,20
1772566472.3531039,Latam,18
1772566472.3531039,Mexico,17
1772566472.3531039,Argentina,17
1772566472.3531039,Brasil,17
1772566472.3531039,Sahel,32
1772566472.3531039,Asia_Pacifico,21
1772566472.3531039,Europa_Core,21
1772566472.3531039,North_Korea,35
1772566472.3531039,Australia,20
1772566472.3531039,ARGENTINA,17
1772566472.3531039,LATAM,18
1772566472.3531039,SAHEL,32
1772566472.3531039,ESPANA,19
1772566472.3531039,NORTH_KOREA,35
1772566472.3531039,EUROPA_CORE,21
1772566472.3531039,AUSTRALIA,20
1772566472.3531039,CHINA,20
1772566472.3531039,IRAN_M_ORIENTE,68
1772566472.3531039,MEXICO,17
1772566472.3531039,RUSIA_UCRANIA,62
1772566472.3531039,BRASIL,17
1772566472.3531039,ASIA_PACIFICO,21
1772568003.8952296,Iran_M_Oriente,68
1772568003.8952296,Espana,18
1772568003.8952296,Rusia_Ucrania,62
1772568003.8952296,USA,22
1772568003.8952296,China,20
1772568003.8952296,Latam,18
1772568003.8952296,Mexico,17
1772568003.8952296,Argentina,17
1772568003.8952296,Brasil,17
1772568003.8952296,Sahel,32
1772568003.8952296,Asia_Pacifico,21
1772568003.8952296,Europa_Core,21
1772568003.8952296,North_Korea,35
1772568003.8952296,Australia,20
1772568003.8952296,ARGENTINA,17
1772568003.8952296,LATAM,18
1772568003.8952296,SAHEL,32
1772568003.8952296,ESPANA,18
1772568003.8952296,NORTH_KOREA,35
1772568003.8952296,EUROPA_CORE,21
1772568003.8952296,AUSTRALIA,20
1772568003.8952296,CHINA,20
1772568003.8952296,IRAN_M_ORIENTE,68
1772568003.8952296,MEXICO,17
1772568003.8952296,RUSIA_UCRANIA,62
1772568003.8952296,BRASIL,17
1772568003.8952296,ASIA_PACIFICO,21
1772569806.665058,Iran_M_Oriente,68
1772569806.665058,Espana,17
1772569806.665058,Rusia_Ucrania,62
1772569806.665058,USA,22
1772569806.665058,China,21
1772569806.665058,Latam,18
1772569806.665058,Mexico,17
1772569806.665058,Argentina,17
1772569806.665058,Brasil,17
1772569806.665058,Sahel,32
1772569806.665058,Asia_Pacifico,21
1772569806.665058,Europa_Core,21
1772569806.665058,North_Korea,35
1772569806.665058,Australia,20
1772569806.665058,ARGENTINA,17
1772569806.665058,LATAM,18
1772569806.665058,SAHEL,32
1772569806.665058,ESPANA,17
1772569806.665058,NORTH_KOREA,35
1772569806.665058,EUROPA_CORE,21
1772569806.665058,AUSTRALIA,20
1772569806.665058,CHINA,21
1772569806.665058,IRAN_M_ORIENTE,68
1772569806.665058,MEXICO,17
1772569806.665058,RUSIA_UCRANIA,62
1772569806.665058,BRASIL,17
1772569806.665058,ASIA_PACIFICO,21
1772571603.7581565,Iran_M_Oriente,68
1772571603.7581565,Espana,17
1772571603.7581565,Rusia_Ucrania,62
1772571603.7581565,USA,21
1772571603.7581565,China,21
1772571603.7581565,Latam,17
1772571603.7581565,Mexico,17
1772571603.7581565,Argentina,17
1772571603.7581565,Brasil,17
1772571603.7581565,Sahel,32
1772571603.7581565,Asia_Pacifico,21
1772571603.7581565,Europa_Core,21
1772571603.7581565,North_Korea,35
1772571603.7581565,Australia,20
1772571603.7581565,ARGENTINA,17
1772571603.7581565,LATAM,17
1772571603.7581565,SAHEL,32
1772571603.7581565,ESPANA,17
1772571603.7581565,NORTH_KOREA,35
1772571603.7581565,EUROPA_CORE,21
1772571603.7581565,AUSTRALIA,20
1772571603.7581565,CHINA,21
1772571603.7581565,IRAN_M_ORIENTE,68
1772571603.7581565,MEXICO,17
1772571603.7581565,RUSIA_UCRANIA,62
1772571603.7581565,BRASIL,17
1772571603.7581565,ASIA_PACIFICO,21
1772573403.0088394,Iran_M_Oriente,68
1772573403.0088394,Espana,17
1772573403.0088394,Rusia_Ucrania,62
1772573403.0088394,USA,21
1772573403.0088394,China,21
1772573403.0088394,Latam,17
1772573403.0088394,Mexico,17
1772573403.0088394,Argentina,18
1772573403.0088394,Brasil,17
1772573403.0088394,Sahel,32
1772573403.0088394,Asia_Pacifico,21
1772573403.0088394,Europa_Core,21
1772573403.0088394,North_Korea,35
1772573403.0088394,Australia,20
1772573403.0088394,ARGENTINA,18
1772573403.0088394,LATAM,17
1772573403.0088394,SAHEL,32
1772573403.0088394,ESPANA,17
1772573403.0088394,NORTH_KOREA,35
1772573403.0088394,EUROPA_CORE,21
1772573403.0088394,AUSTRALIA,20
1772573403.0088394,CHINA,21
1772573403.0088394,IRAN_M_ORIENTE,68
1772573403.0088394,MEXICO,17
1772573403.0088394,RUSIA_UCRANIA,62
1772573403.0088394,BRASIL,17
1772573403.0088394,ASIA_PACIFICO,21
1772575203.4552295,Iran_M_Oriente,68
1772575203.4552295,Espana,17
1772575203.4552295,Rusia_Ucrania,62
1772575203.4552295,USA,20
1772575203.4552295,China,21
1772575203.4552295,Latam,18
1772575203.4552295,Mexico,17
1772575203.4552295,Argentina,17
1772575203.4552295,Brasil,17
1772575203.4552295,Sahel,32
1772575203.4552295,Asia_Pacifico,21
